City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
451,Mayo,US,38.8876,-76.5119,83.98,85,1,1.99,clear sky,2021-07-17 12:15:36
452,Aasiaat,GL,68.7098,-52.8699,42.37,79,14,6.93,few clouds,2021-07-17 12:15:36
453,Muros,ES,42.7762,-9.0603,93.7,45,0,5.12,clear sky,2021-07-17 12:15:37
454,Kpandae,GH,8.4689,-0.0113,72.55,96,100,10.96,moderate rain,2021-07-17 12:15:37
455,Kurduvadi,IN,18.0833,75.4333,85.71,63,86,9.44,light rain,2021-07-17 12:15:38
456,San Isidro,PE,-12.1167,-77.05,61.02,97,90,6.91,overcast clouds,2021-07-17 12:15:38
457,Lavrentiya,RU,65.5833,-171.0,43.0,98,100,7.07,overcast clouds,2021-07-17 12:15:38
458,Toora-Khem,RU,52.4675,96.11,68.61,54,82,2.06,broken clouds,2021-07-17 12:15:39
459,Champerico,GT,14.3,-91.9167,79.03,83,44,4.18,scattered clouds,2021-07-17 12:15:39
460,Sheridan,US,44.8333,-106.9173,69.98,62,1,0.0,clear sky,2021-07-17 12:15:39
461,Spring Valley,US,36.108,-115.245,89.55,24,20,1.01,few clouds,2021-07-17 12:15:40
462,Shingu,JP,33.7333,135.9833,80.91,94,99,6.91,overcast clouds,2021-07-17 12:15:40
463,Bistra,RO,46.3833,23.1,84.72,39,11,5.26,few clouds,2021-07-17 12:15:41
464,Amga,RU,60.8953,131.9608,64.4,62,2,3.78,clear sky,2021-07-17 12:12:15
465,Dalhousie,IN,32.5333,75.9833,74.3,63,42,2.04,scattered clouds,2021-07-17 12:15:41
466,La Ronge,CA,55.1001,-105.2842,52.05,76,90,9.22,smoke,2021-07-17 12:15:41
467,Keflavik,IS,64.0049,-22.5624,53.53,100,90,5.75,overcast clouds,2021-07-17 12:15:42
468,Vestmanna,FO,62.1564,-7.1664,50.92,87,90,18.41,overcast clouds,2021-07-17 12:15:42
469,Alyangula,AU,-13.8483,136.4192,72.1,74,90,10.85,overcast clouds,2021-07-17 12:15:43
470,Namibe,AO,-15.1961,12.1522,80.2,46,0,9.69,clear sky,2021-07-17 12:15:43
471,Nyurba,RU,63.2842,118.3319,66.97,85,98,5.91,overcast clouds,2021-07-17 12:15:43
472,Nkayi,CG,-4.1841,13.2884,93.58,37,28,3.78,scattered clouds,2021-07-17 12:15:44
473,Qui Nhon,VN,13.7667,109.2333,80.22,86,58,5.1,broken clouds,2021-07-17 12:15:44
474,Imeni Poliny Osipenko,RU,52.4201,136.4853,70.38,69,85,3.89,overcast clouds,2021-07-17 12:15:44
475,Angostura,MX,25.3667,-108.1833,80.01,79,51,5.77,broken clouds,2021-07-17 12:15:44
476,Burgeo,CA,47.6167,-57.6152,59.02,99,100,5.73,overcast clouds,2021-07-17 12:15:45
477,Tabuk,PH,17.4189,121.4443,76.75,91,100,3.78,very heavy rain,2021-07-17 12:15:45
478,Singleton,AU,-32.5667,151.1833,53.49,54,41,14.0,scattered clouds,2021-07-17 12:15:45
479,Marrakesh,MA,31.6315,-8.0083,100.47,22,20,5.75,few clouds,2021-07-17 12:13:01
480,Karratha,AU,-20.7377,116.8463,69.26,41,34,4.56,scattered clouds,2021-07-17 12:15:46
481,Safut,JO,32.0336,35.8332,91.72,22,0,9.22,clear sky,2021-07-17 12:15:46
482,Xining,CN,36.6167,101.7667,61.93,78,36,4.79,scattered clouds,2021-07-17 12:15:46
